,superficie,time_ctrl,PRECIPITACION,time_ext,SOL,personal,RACHA,lng,lat,Año,TMAX,medios,PRES_RANGE
58,1.0,1.35,0,1.35,12.9,5,15.0,-8.071765,42.955292,2001,21.4,1,2.60000000000002
59,1.6,1.25,0,1.25,12.9,5,15.0,-8.692291,43.21314,2001,21.4,1,2.60000000000002
60,4.0,3.1,0,3.1,12.9,16,15.0,-8.130649,43.594099,2001,21.4,2,2.60000000000002
61,2.0,3.35,0,3.35,12.9,10,15.0,-8.100581,43.14477,2001,21.4,2,2.60000000000002
62,1.0,1.0,0,1.0,13.2,6,15.0,-8.242943,43.163261,2001,20.0,1,2.69999999999993
63,3.5,3.0,0,3.0,13.2,6,15.0,-8.648783,42.786588,2001,20.0,1,2.69999999999993
64,2.6,4.0,0,4.0,7.1,9,6.4,-8.623962,42.845404,2001,19.2,2,4.59999999999991
65,1.0,1.35,0,1.35,7.1,5,6.4,-8.099574,43.612623,2001,19.2,2,4.59999999999991
66,1.0,1.1,1,1.1,11.1,7,6.4,-8.185687,43.534708,2001,18.4,2,6.39999999999998
67,3.0,1.25,0,1.25,7.6,18,12.5,-8.495562,43.291593,2001,19.8,2,2.40000000000009
68,1.5,1.35,1,1.35,3.8,15,10.6,-8.682929,42.997438,2001,21.1,2,1.79999999999995
69,3.0,3.25,0,3.25,13.1,11,5.3,-8.990898,42.572775,2001,27.6,3,4.5
70,1.5,1.25,0,1.25,13.1,5,5.3,-8.926821,43.068876,2001,27.6,2,4.5
71,3.0,3.25,0,3.25,13.4,15,8.1,-8.567981,42.854833,2001,28.4,2,2.10000000000002
72,2.5,3.15,0,3.15,13.4,4,8.1,-8.81752,42.903258,2001,28.4,1,2.10000000000002
73,1.35,2.4,0,2.4,13.4,10,8.1,-8.328803,43.05101,2001,28.4,1,2.10000000000002
74,1.22,1.45,0,1.45,13.4,8,8.1,-8.990898,42.572775,2001,28.4,3,2.10000000000002
75,2.5,4.05,0,4.05,10.0,19,7.5,-7.980296,43.159789,2001,19.0,3,1.79999999999995
76,2.0,1.55,0,1.55,10.0,12,7.5,-9.015749,42.550215,2001,19.0,2,1.79999999999995
77,1.1,1.45,0,1.45,10.0,9,7.5,-8.219855,43.567613,2001,19.0,2,1.79999999999995
78,3.05,2.45,0,2.45,10.0,17,7.5,-8.287918,43.473549,2001,19.0,5,1.79999999999995
79,1.0,0.45,0,0.45,0.5,5,6.4,-8.547833,43.057578,2001,18.8,1,2.39999999999998
80,3.5,1.2,0,1.2,0.5,17,6.4,-8.623962,42.845404,2001,18.8,3,2.39999999999998
81,2.2,1.5,0,1.5,10.3,10,13.1,-8.772107,43.090275,2001,19.8,1,1.80000000000007
82,1.0,2.25,0,2.25,10.3,11,13.1,-8.804536,42.860227,2001,19.8,2,1.80000000000007
83,1.3,2.35,0,2.35,13.2,1,7.5,-8.175458,43.096447,2001,21.5,1,3.5
84,5.5,3.4,0,3.4,13.2,6,7.5,-8.313216,43.030576,2001,21.5,2,3.5
85,1.15,1.45,0,1.45,13.2,10,7.5,-8.250286,43.549187,2001,21.5,4,3.5
86,1.0,1.1,0,1.1,13.2,33,7.5,-8.74306,42.76328,2001,21.5,1,3.5
87,2.5,2.35,0,2.35,13.2,2,7.5,-8.681299,42.797346,2001,21.5,2,3.5
88,1.3,2.5,0,2.5,13.2,11,7.5,-8.608497,42.788592,2001,21.5,0,3.5
89,2.0,2.45,0,2.45,13.2,3,7.5,-8.647949,42.765558,2001,21.5,2,3.5
90,3.0,3.4,0,3.4,13.2,11,7.5,-8.648048,42.916127,2001,21.5,4,3.5
91,1.2,3.25,0,3.25,8.5,6,9.2,-8.071765,42.955292,2001,20.6,2,4.79999999999995
92,1.0,1.45,0,1.45,8.5,6,9.2,-7.966212,42.993181,2001,20.6,2,4.79999999999995
93,2.5,1.4,0,1.4,13.5,5,6.4,-9.058135,43.123248,2001,24.4,1,1.29999999999995
94,1.0,2.4,0,2.4,9.3,5,7.5,-8.958553,42.822663,2001,23.2,2,2.30000000000007
95,3.0,2.15,0,2.15,9.3,6,7.5,-8.240377,43.053519,2001,23.2,1,2.30000000000007
96,1.0,1.25,0,1.25,9.3,11,7.5,-8.786446,42.671189,2001,23.2,2,2.30000000000007
97,4.2,3.05,0,3.05,8.8,14,11.4,-8.287918,43.473549,2001,20.9,4,2.10000000000002
98,2.4,2.5,0,2.5,8.8,19,11.4,-8.992317,42.823895,2001,20.9,2,2.10000000000002
99,1.4,1.3,0,1.3,8.8,15,11.4,-8.428069,43.294409,2001,20.9,2,2.10000000000002
100,1.3,2.0,0,2.0,8.8,8,11.4,-8.990898,42.572775,2001,20.9,1,2.10000000000002
