,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,model,param_max_depth,param_min_samples_split,param_n_estimators
0,0,30,0.0,0.0,0.0,0.0,0.0001,linear,,"{'C': 0.0001, 'kernel': 'linear', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
1,0,30,0.0,0.0,0.0,0.0,0.0001,poly,,"{'C': 0.0001, 'kernel': 'poly', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
2,0,30,0.0,0.0,0.0,0.0,0.0001,rbf,,"{'C': 0.0001, 'kernel': 'rbf', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
3,0,30,0.0,0.0,0.0031238555908203124,0.006247711181640625,0.0001,sigmoid,,"{'C': 0.0001, 'kernel': 'sigmoid', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
4,0,30,0.0,0.0,0.003124427795410156,0.006248855590820312,0.001,linear,,"{'C': 0.001, 'kernel': 'linear', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
5,0,30,0.0,0.0,0.0031244754791259766,0.006248950958251953,0.001,poly,,"{'C': 0.001, 'kernel': 'poly', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
6,0,30,0.0,0.0,0.0,0.0,0.001,rbf,,"{'C': 0.001, 'kernel': 'rbf', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
7,0,30,0.0,0.0,0.0,0.0,0.001,sigmoid,,"{'C': 0.001, 'kernel': 'sigmoid', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
8,0,30,0.0009976863861083985,9.488939639154625e-07,0.0009968280792236328,3.9895058943465975e-07,0.01,linear,,"{'C': 0.01, 'kernel': 'linear', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
9,0,30,0.0003989696502685547,0.0004886360853561638,0.0005984306335449219,0.0004886168997066303,0.01,poly,,"{'C': 0.01, 'kernel': 'poly', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
10,0,30,0.00020856857299804686,0.0004171371459960937,0.0001995563507080078,0.0003991127014160156,0.01,rbf,,"{'C': 0.01, 'kernel': 'rbf', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
11,0,30,0.0,0.0,0.0,0.0,0.01,sigmoid,,"{'C': 0.01, 'kernel': 'sigmoid', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.875,0.7916666666666666,0.875,0.8333333333333334,0.8583333333333332,0.04249182927993987,SVC,,,
12,0,30,0.0,0.0,0.0,0.0,0.1,linear,,"{'C': 0.1, 'kernel': 'linear', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.875,0.9166666666666666,0.8916666666666666,0.033333333333333305,SVC,,,
13,0,30,0.0,0.0,0.0,0.0,0.1,poly,,"{'C': 0.1, 'kernel': 'poly', 'random_state': None}",0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.9333333333333333,0.08164965809277258,2,0.9166666666666666,0.9166666666666666,0.7916666666666666,0.875,0.875,0.875,0.045643546458763846,SVC,,,
