model,fit_time,params,f1_score_micro,f1_score_weighted,precision_score_weighted,recall_score_weighted,accuracy_score,balanced_accuracy_score
SVC,0.0010454654693603516,"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.8399999999999999,0.7669565217391304,0.7056,0.84,0.84,0.3333333333333333
RandomForestClassifier,0.05243039131164551,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 10, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.8399999999999999,0.7669565217391304,0.7056,0.84,0.84,0.3333333333333333
ExtraTreesClassifier,0.02582263946533203,"{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 10, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.8399999999999999,0.7669565217391304,0.7056,0.84,0.84,0.3333333333333333
DummyClassifier,,"{'constant': None, 'random_state': None, 'strategy': 'stratified'}",0.72,0.809560975609756,0.7,0.72,0.76,0.38888888888888884
